"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Переход из профиля во вкладку 'История заказов'","1450","Переход в историю заказов","tests","Sat May 10 19:15:39 MSK 2025","passed","Sat May 10 19:15:40 MSK 2025","TestProfile","test_profile","",""
"Запрос на восстановление пароля с корректным email","14818","Запрос восстановления пароля","tests","Sat May 10 19:14:15 MSK 2025","passed","Sat May 10 19:14:30 MSK 2025","TestPasswordReset","test_password_reset","",""
"Проверка увеличения счётчика заказов, выполненных сегодня","15136","test_today_done_counter_increases[firefox]","tests","Sat May 10 19:12:42 MSK 2025","broken","Sat May 10 19:12:57 MSK 2025","TestOrderFeed","test_order_feed","",""
"Проверка, что окно деталей заказа отображается после оформления","3621","Создание заказа","tests","Sat May 10 19:09:59 MSK 2025","passed","Sat May 10 19:10:03 MSK 2025","TestMainPage","test_main_page","",""
"Проверка, что счётчик ингредиента увеличивается после добавления","6514","Увеличение счётчика ингредиента","tests","Sat May 10 19:09:37 MSK 2025","passed","Sat May 10 19:09:44 MSK 2025","TestMainPage","test_main_page","",""
"Проверка увеличения счётчика всех выполненных заказов после нового заказа","10437","test_total_done_counter_increases[chrome]","tests","Sat May 10 19:11:34 MSK 2025","passed","Sat May 10 19:11:45 MSK 2025","TestOrderFeed","test_order_feed","",""
"Проверка увеличения счётчика всех выполненных заказов после нового заказа","15084","test_total_done_counter_increases[firefox]","tests","Sat May 10 19:11:58 MSK 2025","broken","Sat May 10 19:12:13 MSK 2025","TestOrderFeed","test_order_feed","",""
"Проверка переключения видимости пароля на этапе восстановления","12956","Переключение видимости пароля","tests","Sat May 10 19:14:45 MSK 2025","passed","Sat May 10 19:14:58 MSK 2025","TestPasswordReset","test_password_reset","",""
"Переход из профиля во вкладку 'История заказов'","938","Переход в историю заказов","tests","Sat May 10 19:15:53 MSK 2025","broken","Sat May 10 19:15:54 MSK 2025","TestProfile","test_profile","",""
"Открытие деталей заказа из ленты заказов","7485","test_open_order_details_from_feed[chrome]","tests","Sat May 10 19:10:19 MSK 2025","passed","Sat May 10 19:10:26 MSK 2025","TestOrderFeed","test_order_feed","",""
"Проверка, что созданный пользователем заказ появляется в ленте","2588","test_user_orders_appear_in_feed[chrome]","tests","Sat May 10 19:10:51 MSK 2025","passed","Sat May 10 19:10:54 MSK 2025","TestOrderFeed","test_order_feed","",""
"Выход пользователя из личного кабинета","2773","Выход из профиля","tests","Sat May 10 19:16:06 MSK 2025","passed","Sat May 10 19:16:09 MSK 2025","TestProfile","test_profile","",""
"Проверка, что новый заказ отображается в списке заказов 'в работе'","0","test_new_order_appears_in_progress[firefox]","tests","Sat May 10 19:13:16 MSK 2025","broken","Sat May 10 19:13:16 MSK 2025","TestOrderFeed","test_order_feed","",""
"Переход в раздел 'Конструктор' и проверка его отображения","10548","Переход в раздел 'Конструктор'","tests","Sat May 10 19:08:16 MSK 2025","passed","Sat May 10 19:08:26 MSK 2025","TestMainPage","test_main_page","",""
"Переход из главной страницы в профиль авторизованного пользователя","1875","Переход в профиль пользователя","tests","Sat May 10 19:15:05 MSK 2025","passed","Sat May 10 19:15:07 MSK 2025","TestProfile","test_profile","",""
